term_id,term,definition
61,смерд,"в Древней Руси категория неполноправных людей. Жизнь смерда в “Русской Правде” защищалась минимальной вирой – 5 гривен. Возможно, так называли жителей недавно присоединенных территорий, обложенных повышенной данью. Есть мнение, что смердами называли всех земледельцев, среди которых были как зависимые, так и свободные."
62,соседская община,"группа, коллектив людей, не связанных родственными узами. Общинники живут на определенной территории и входят в общину по принципу соседства. Каждая семья в рамках общины имеет право на долю общинной собственности и сама обрабатывает свою часть пашни. Все вместе общинники поднимают целину, расчищают лес, прокладывают дороги. У восточных славян переход от родовой общины к соседской завершился к VII в. После этого мужское население общины получило название “люди”. С ростом феодального землевладения (время существования Древнерусского государства) община становится зависимой от феодала или государства. Однако сохраняет все свои функции. Община регулировала цикл сельскохозяйственных работ, распределяла налоги между общинниками (при этом действовал принцип круговой поруки), решала текущие хозяйственные вопросы."
63,стрельцы,"в Русском государстве XVI – начала XVIII вв. служилые люди, составлявшие постоянное войско; пехота, вооружённая огнестрельным оружием. Изначально набирались из свободного сельского и городского населения, затем их служба стала пожизненной и наследственной. Получали жалованье деньгами, хлебом, иногда землёй. Жили слободами и имели семьи, занимались также ремёслами и торговлей. Стрельцы были активными участниками Московского восстания 1682 и стрелецкого восстания 1698. Стрелецкое войско упразднено Петром I в связи с созданием регулярной русской армии."
64,стоглавый собор,"церковный собор с участием Ивана IV в 1551 г. Был созван по инициативе светской власти. Унифицировал церковные обряды, объявил всех местночтимых русских святых общечтимыми, предписал создание училищ для подготовки священнослужителей, регламентировал нормы поведения духовенства, запретил монастырям основывать слободы в городах, установил неподсудность духовенства светскому суду и неприкосновенность церковного имущества."
65,судебник,"свод законов единого Российского государства, принятый великим князем московским Иваном III Васильевичем в 1497. Были установлены единые нормы суда для всей территории страны. 57-я статья Судебника вводила ограничение на крестьянский переход: крестьяне могли уходить от своих владельцев раз в году – неделю до и после осеннего Юрьева дня (26 ноября). При этом обязательна была выплата “пожилого” – единовременного платежа за проживание на земле феодала. Судебник также ограничил источники холопства. Судебник Ивана IV (1550 г.) подтвердил ограничение крестьянского перехода, ликвидировал судебные привилегии удельных князей и усилил роль центральных государственных судебных органов."
66,темник,"монгольский военачальник, глава тумена (по-русски “тьмы”), составляющего 10 тысяч воинов."
67,тиун,слуга-управитель в хозяйстве вотчинника; княжеские тиуны выполняли также различные государственные поручения.
68,тысяцкий,"в Древнерусском государстве возглавлял ополчение. В Новгородской республике выбирался на вече на один год, являлся помощником посадника. К середине XV в. эта должность постепенно исчезает."
69,удел,"часть княжества-земли, полусамостоятельное владение, выделенное одному из младших членов правящей династии."
70,удельные князья,"в XIV-XVI вв. родственники великого князя или царя, получившие часть территории государства в удел. В пределах своего удела они являлись полновластными государями, но не могли вести самостоятельную внешнюю политику и обязаны были участвовать в предпринимаемых великим князем походах. По своему статусу они были вассалами великого князя. Изредка удельные князья привлекались к решению общегосударственных дел, но их влияние на внутреннюю политику было, как правило, незначительным из-за недоверия со стороны великих князей."
71,урок,"по налоговой реформе княгини Ольги фиксированный размер дани, взимаемой с подвластного населения."
72,урочные лета,"срок, в течение которого производился сыск беглых крестьян или холопов. Впервые введены указом царя Федора Ивановича в 1597 г. с 5-летним сроком. Позднее продолжительность урочных лет менялась, составляя от 5 до 15 лет. Окончательно отменены с введением бессрочного сыска беглых по Соборному уложению 1649 г."
73,фреска,роспись водяными красками по сырой штукатурке.
74,холоп,"категория зависимого населения в России Х-XVIII вв. Самая бесправная часть населения, по своему правовому положению близкая к рабам. Феодал мог убить, продать, наказать холопа, а также нес ответственность за действия своего холопа. Холопами становились в результате пленения, продажи за долги, женитьбы на холопке. Как правило, холопы не имели собственного надела и входили в число челяди."
75,христианство,"одна из мировых религий, наряду с буддизмом и исламом."
76,царь,титул монарха России в 1547-1917 гг.
77,челядь,"в широком смысле слова прислуга. В Древней Руси категория зависимых людей, рабы."
78,чернь,"сплав серебра, свинца и других компонентов, с помощью которого украшают изделия из металлов, в основном из серебра. Измельченная чернь наносится на гравированную поверхность металла, изделие обжигается, после чего на нём выявляют чёрный или тёмно-серый рисунок, прочно сплавленный с основой. Чернение по серебру и другим металлам было известно уже в античном мире. Черновые изображения (сюжетные, пейзажные, орнаментальные) выполняются на отдельных пластинах, либо украшают бытовые предметы (посуда, столовые приборы, шкатулки), оружие, ювелирные изделия. Известны серебряные подвески, браслеты русских мастеров X-XII вв. Чернь широко применялась русскими ювелирами XV-XVI вв., наибольшее разнообразие форм изделий и сюжетов черновыхрисунков было достигнуто в XVIII в. мастерами Великого Устюга."
79,черносошные крестьяне,"крестьяне, проживавшие на “черных”, то есть государственных землях."
80,юрьев день,впервые введен Судебником 1497 г. Начиная с этого времени крестьянский переход ограничивался двумя неделями в году: неделей до и неделей после осеннего Юрьева дня (26 ноября).
81,язычество,"религиозные верования, основанные на первобытных мифах о множестве богов, духов, олицеворяющих силы природы (солнце, дождь, плодородие), человеческие занятия (земледелие, торговля, война)."
82,ярлык,"ханская грамота, которая выдавалась русским князьям и подтверждала их право на княжение. Ярлык выдавался также митрополиту. Согласно этому документу, церковь освобождалась от налогов и повинностей."
