104,1 декабря 1934,В Ленинграде был убит С.М. Киров. В дальнейшем это послужило началом массовых репрессий.,
105,23 августа 1939,Подписание пакта Молотова-Риббетропа о ненападении между Германией и СССР,
106,1 сентября 1939,Начало Второй Мировой Войны,
107,30 ноября 1939,СССР начинает войну против Финляндии,
108,13 марта 1940,СССР и Финляндия подписывают мирный договор,
109,16 июня 1940,РККА (Красная Армия) вступает в Прибалтику,
110,28 июня 1940,РККА вступает на территориию Бессарабии и Северной Буковины,
111,22 июня 1941,Начало Великой Отечественной Войны (Германия вторгается на территорию СССР),
112,7 июля 1941-26 сентября 1941,Киевская оборонительная операция,
113,10 июля 1941-10 сентября,Битва за Смоленск,
114,8 сентября 1941,Начало обороны Ленинграда,
115,30 сентября 1941-5 декабря 1941,Оборона Москвы,
116,6 декабря 1941-10 января 1942,Контрнаступление под Москвой,
117,17 июля 1942-19 ноября 1942,Оборона Сталинграда,
118,28 июля 1942,Подписан знаменитый приказ «Ни шагу назад!», он известен под номером 227
119,29 ноября 1942,Советские войска приступили к освобождению Украины,
120,5 июля 1943-23 августа 1943,Курская битва (Курская дуга),
121,6 ноября 1943,РККА освободила Киев,
122,19 ноября 1942-2 февраля 1943,Разгром немцев под Сталинградом,
123,18 января 1943,Произошел прорыв блокадного Ленинграда,
124,28 ноября 1943- 1 декабря 1943,Тегеранская конференция,
125,17 марта 1991,Референдум о сохранении СССР (76,4% голосов за сохранение)
126,12 июня 1991,Борис Ельцин победил на выборах Президенства РСФСР (57,3% голосов)
127,8 декабря 1991,Подписаны «Боловежские соглашения»,
128,25 декабря 1991,Михаил Горбачев снимает с себя функции Президента СССР,
129,сентябрь 1993,Б.Н. Ельцин подписывает указ о проведении конституционных реформ,
130,3 октября 1993-4 октября 1993,"Вооруженные столкновения в Москве. Обстрел ""Белого дома""",
131,декабрь 1994,Вооруженные силы РФ были введены в Чечню для наведения конституционного порядка,
132,31 декабрь 1994,Штурм города Грозный,
133,1996,Российская Федерация принята в Совет Европы,
134,1998,"Российская Федерация входит в ""Большую восьмерку""",
135,сентябрь 1999,Контртеррористическая операция в Чечне (начало второй чеченской компании),
136,март 2000,Владимир Владимирович Путин избран президентом России,
